amphipathic,@mfxp@TIk
catalyst,k@txlIst
centrioles,sEntriolz
chemiosmotic,kEmixsmatik
chlorophyll,klcrxfIl
cytoplasm,sYtxpl@zm
desmosomes,dEzmozomz
dynein,dYnin
eukaryote,yuk@riot
exergonic,EksXganIk
glycolysis,glYkalxsIs
hydroxyl,hYdraksxl
hypertonic,hYpXtanIk
isotonic,YsxtanIk
isotope,Ysxtop
kinesin,kInisxn
lysosome,lYsxzom
microtubule,mYkrotubyul
monosaccharides,manos@kXYdz
nucleoid,nuklicId
nucleotides,nuklixtYdz
oxidizer,aksIdYzX
peroxisome,pXraksIzom
phosphorylation,fasfXxleYSxn
purine,pyRin
quaternary,kwatXnEri
reducer,rIdusX
ribonucleoside,rYbxnuklixsYd
ribosomes,rYbxzomz
tertiary,tRSiEri
vacuole,v@kyuol
