amphipathic,amphupathic,amfipathic,amphipatic,amphpathic,amphiputhick,amfipathik
catalyst,catalist,katalyst,catalust,catlyst,kataulysts,cateilyst
centrioles,centreoles,sentrioles,cendrioles,centroles,sintraoles,centreeals
chemiosmotic,chemyosmotic,kemiosmotic,chemiozmotic,chemosmotic,kimiosmatuck,chemeohsmatic
chlorophyll,chloruphyll,klorophyll,chrorophyll,chlorphyll,klurupill,klorafill
cytoplasm,cytuplasm,sytoplasm,cytoplasn,cyoplasm,sytumplusm,siteoplasim
desmosomes,deasmosomes,desmosomez,desmosones,desmosome,deadmusomez,desmeosomes
dynein,dyneen,dyneinn,dyneim,dyunein,dineed,dieneen
eukaryote,ukaryote,eucaryote,eugaryote,eukarote,uchairyoat,ucarryote
exergonic,exerganic,exergonik,exergonig,exegonic,exurgegonick,exorganic
glycolysis,glycolusis,glykolysis,glygolysis,glycolsis,gliekolysist,glicolosis
hydroxyl,hydroxul,hydrocsyl,hytroxyl,hydoxyl,hidrauxsold,hidroxell
hypertonic,hipertonic,hypertonik,hybertonic,hyperdonic,hybertonick,hipertonik
isotonic,isutonic,isotonik,isodonic,isotaonic,isodonick,eyesotonic
isotope,iseotope,iceotope,isodope,izotope,aiseopope,eyesotope
kinesin,kinesun,chinesin,kinesim,kinsin,chimesum,cinesen
lysosome,liseosome,lysozome,lysosone,lysozome,lighsursome,liesosome
microtubule,mycrotubule,mikrotubule,microtuvule,micotubule,mikertupule,microtubial
monosaccharides,monosaccherides,monosakarides,monosacchalrides,monosaccharide,manosackurites,monosacorides
nucleoid,noocleoid,nukleoid,nucleoit,nukeoid,noocleeoit,nukeleoide
nucleotides,nuceleotides,nucleotidez,nucleodides,nucleotide,noochleomides,nukeleotides
oxidizer,oxidizor,ocsidizer,oxitizer,oxdizer,oxymizur,oxydizer
peroxisome,peraxisome,peroxizome,peroxisone,peroxsome,pirloxisome,purroxisome
phosphorylation,phosphorolation,fosphorylaation,phosphorylason,phosphorlation,fosforuhlayton,fosferilation
purine,purene,purinne,purime,perine,mureene,pureine
quaternary,quaternery,cuaternary,quadernary,quatnary,kwaterdary,quatinary
reducer,riducer,reduser,retucer,reducear,reduzer,riduker
ribonucleoside,ribeonucleoside,ribonukleoside,riponucleoside,ribonucleosides,libonucleozide,ribeonukleoside
ribosomes,ribasomes,ribosomez,rivosomes,ribosome,riposomes,rhybosomez
tertiary,tertiery,tershiary,tersiary,terchiary,tirshoeary,therciary
vacuole,vacuol,vackuole,vaguole,vacole,vachuhole,vakuole
