Word,IPA,phonemes,orthographic transparency
dynein,da_nin,5,60%
purine,pj_in,5,50%
isotope,a_s_top,6,50%
reducer,__dus_,6,33%
kinesin,k_nis_n,7,71%
lysosome,la_s_zom,7,43%
tertiary,t__i__i,7,43%
vacuole,v¾kjuol,7,67%
catalyst,k¾t_l_st,8,63%
chlorophyll,kl___f_l,8,29%
eukaryote,juk¾_iot,8,43%
nucleoid,nukli__d,8,71%
oxidizer,aks_da_z_,8,43%
ribosomes,ra_b_zomz,8,38%
isotonic,a_s_tan_k,8,63%
amphipathic,¾mf_p¾__k,9,67%
centrioles,s_nt_iolz,9,56%
cytoplasm,sa_t_pl¾zm,9,56%
desmosomes,d_zmozomz,9,56%
exergonic,_ks_g_n_k,9,63%
hydroxyl,ha_d__ks_l,9,63%
hypotonic,ha_p_t_n_k,9,67%
quaternary,kw_t_n__i,9,38%
glycolysis,gla_k_l_s_s,10,70%
nucleotides,nukli_ta_dz,10,50%
peroxisome,p__ks_zom,10,50%
chemiosmotic,k_mi_sm_t_k,11,64%
microtubule,ma_k_otubjul,11,60%
monosaccharides,m_nos¾k_a_dz,11,64%
phosphorylation,f_sf__le__n,12,36%
ribonucleoside,_a_b_nukli_sa_d,13,54%
