Word,IPA,phonemes,orthographic transparency
amphipathic,æmfəpæθɪk,9,67%
catalyst,kætəlɪst,8,63%
centrioles,sɛntɹiolz,9,56%
chemiosmotic,kɛmiəsmɑtɪk,11,64%
chlorophyll,klɔɹəfɪl,8,29%
cytoplasm,saɪtəplæzm,9,56%
desmosomes,dɛzmozomz,9,56%
dynein,daɪnin,5,60%
eukaryote,jukæɹiot,8,43%
exergonic,ɛksɚgɑnɪk,9,63%
glycolysis,glaɪkɑləsɪs,10,70%
hypertonic,haɪpɚtɑnɪk,9,67%
isotonic,aɪsətanɪk,8,63%
isotope,aɪsətop,6,50%
kinesin,kɪnisən,7,71%
lysosome,laɪsəzom,7,43%
microtubule,maɪkɹotubjul,11,60%
monosaccharides,mɑnosækɚaɪdz,11,64%
nucleoid,nukliɔɪd,8,71%
nucleotides,nukliətaɪdz,10,50%
oxidizer,aksɪdaɪzɚ,8,43%
peroxisome,pɚɑksɪzom,10,50%
phosphorylation,fɑsfɚəleʃən,12,36%
purine,pjɝin,5,50%
quaternary,kwɑtɚnɛɹi,9,38%
reducer,ɹɪdusɚ,6,33%
ribonucleoside,ɹaɪbənukliəsaɪd,13,54%
ribosomes,raɪbəzomz,8,38%
tertiary,tɝʃiɛɹi,7,43%
vacuole,vækjuol,7,67%
