"","ORTHO TARGET","PRODUCTION","T/F","Condition"
"0.0","Reducer","reducer","1.0","low"
"1.0","Amphipathic","a","0.0","high"
"2.0","Dynein","a","0.0","high"
"3.0","Desmosomes","a","0.0","high"
"4.0","Chlorophyll","a","0.0","low"
"5.0","Eukaryote","a","0.0","high"
"6.0","Isotope","a","0.0","high"
"7.0","Ribonucleoside","a","0.0","low"
"8.0","Cytoplasm","a","0.0","high"
"9.0","Exergonic","a","0.0","low"
"10.0","Phosphorylation","a","0.0","low"
"11.0","Monosaccharides","adsad","0.0","high"
"12.0","Isotonic","sdfs","0.0","low"
"13.0","Peroxisome","df","0.0","high"
"14.0","Quaternary","dfgt","0.0","low"
"15.0","Vacuole","ghd","0.0","low"
"16.0","Oxidizer","fhj","0.0","high"
"17.0","Hypertonic","yh","0.0","low"
"18.0","Nucleotides","gerdst","0.0","low"
"19.0","Purine","hger","0.0","high"
"20.0","Glycolysis","dtrh","0.0","low"
"21.0","Nucleoid","geft","0.0","low"
"22.0","Catalyst","gfrthrs","0.0","low"
"23.0","Centrioles","g","0.0","low"
"24.0","Tertiary","trgbf","0.0","low"
"25.0","Kinesin","htgrtrhg","0.0","high"
"26.0","Microtubule","rbs","0.0","high"
"27.0","Chemiosmotic","rgt","0.0","high"
"28.0","Ribosomes","hgrt","0.0","low"
"29.0","Lysosome","gt","0.0","high"
